endTime,artistName,trackName,msPlayed;
2020-09-26 12:34,Lauv,Tattoos Together,186613;
2020-09-26 12:37,JP Saxe,Hey Stupid I Love You,181000;
2020-09-26 12:40,Selena Gomez,Lose You To Love Me,206458;
2020-09-26 12:43,Tate McRae,all my friends are fake,185155;
2020-09-26 12:47,Pink Sweat$,17,160736;
2020-09-26 12:50,Sam Smith,My Oasis (feat. Burna Boy),179916;
2020-09-26 12:53,Ant Saunders,u know it's real,168926;
2020-09-26 12:55,Why Don't We,Chills,165596;
2020-09-26 12:59,Ritt Momney,Put Your Records On,210463;
2020-09-26 13:02,Selena Gomez,Boyfriend,161188;
2020-09-26 13:05,Griff,Good Stuff,193266;
2020-09-26 13:08,Charlie Puth,Hard On Yourself,160825;
2020-09-26 13:10,Alec Benjamin,Match In The Rain,159006;
2020-09-26 13:16,OneRepublic,Wild Life,267117;
2020-09-26 13:19,GRACEY,Empty Love (ft. Ruel),208191;
2020-09-26 13:22,LOVA,Black Converse,186732;
2020-09-26 13:25,Tate McRae,tear myself apart,168546;
2020-09-26 13:28,Fintan,Way Up,177449;
2020-09-26 13:32,Anne-Marie,To Be Young (feat. Doja Cat),194758;
2020-09-26 13:34,Boy In Space,Caroline,158571;
2020-09-26 13:39,Jeremy Zucker,julia,260866;
2020-09-26 13:42,Ellie Goulding,Slow Grenade,217493;
2020-09-26 13:46,Ruel,Real Thing,192326;
2020-09-26 13:50,Christian French,i think too much,202779;
2020-09-26 13:52,Nea,DIABLO,165882;
2020-09-26 13:55,salem ilese,Mad at Disney,136838;
2020-09-26 13:58,Diplo,Heartless (with Julia Michaels & Morgan Wallen),172973;
2020-09-26 14:02,Hailee Steinfeld,Wrong Direction,248986;
2020-09-26 14:05,blackbear,if i were u (with Lauv),186468;
2020-09-26 14:08,Justin Bieber,Habitual,168200;
2020-09-26 14:12,Ruel,Painkiller,213597;
2020-09-26 14:16,Harry Styles,Falling,240133;
2020-09-26 14:19,Alec Benjamin,Mind Is A Prison,161697;
2020-09-26 14:22,BENEE,Supalonely (Lownely),199308;
2020-09-26 14:25,PARTYNEXTDOOR,BELIEVE IT,183219;
2020-09-26 14:28,Dixie,Be Happy - Remix,191578;
2020-09-26 14:31,Alina Baraz,Off the Grid (feat. Khalid),200303;
2020-09-26 14:35,The Chainsmokers,Takeaway,209880;
2020-09-26 14:39,BROCKHAMPTON,SUGAR (Remix) [feat. Dua Lipa],222008;
2020-09-26 14:42,Conan Gray,Heather,198040;
2020-09-26 14:46,keshi,right here,195093;
2020-09-26 14:49,Lukas Graham,Scars,171999;
2020-09-26 14:53,James Arthur,Treehouse (feat. Shotty Horroh),219933;
2020-09-26 14:55,SHY Martin,Nobody Likes Moving On,166646;
2020-09-26 14:59,Maroon 5,Nobody's Love,211253;
2020-09-26 15:03,Russ,3AM,200547;
2020-09-26 15:06,FLETCHER,Bitter,194749;
2020-09-26 15:09,Gavin Haley,The Way I Am,178143;
2020-09-26 15:13,Pop Smoke,Mood Swings (feat. Lil Tjay),213333;
2020-09-26 15:17,Jaden,Falling For You with Justin Bieber,222717;
2020-09-26 15:20,Anne-Marie,Her,177568;
2020-09-26 15:23,Declan J Donovan,Perfectly Imperfect,204085;
2020-09-26 15:26,Sam Smith,How Do You Sleep?,202204;
2020-09-26 15:30,SHY Martin,Are you happy?,157555;
2020-09-26 15:32,Arizona Zervas,NIGHTRIDER,156367;
2020-09-26 15:35,OneRepublic,Better Days,144530;
2020-09-26 15:38,Alaina Castillo,just a boy,185681;
2020-09-26 15:41,Blake Rose,Gone,205462;
